,Gershgorin,DeVille,Algorithm 2(k=1),Algorithm 2(k=2),eigenvalue,Gershgorin_time,DeVille_time,Algorithm 2(k=1)_time,Algorithm 2(k=2)_time,eigenvalue_time,diag_eps
23,-2480.592258423082,-2480.513300750205,0.9821550391612885,0.9821550391612885,1.999999999999512,0.4409017562866211,5.99997091293335,11.259513854980469,11.37515377998352,35.24806809425354,2
24,-2452.0780271084054,-2452.0780271084054,0.9822766608533842,0.9822766608533842,1.9999999999995302,0.4406290054321289,5.1409571170806885,11.236664056777954,11.19014310836792,35.02816104888916,2
25,-2487.737467544294,-2487.5891284744807,0.9825621482676554,0.9825621482676554,1.999999999999678,0.1586921215057373,4.582351922988892,10.643202066421509,11.445636987686157,34.83765506744385,2
26,-2473.1259159273627,-2473.1259159273627,0.9826021903285496,0.9826021903285496,1.9999999999993792,0.4480009078979492,5.116889715194702,11.345387935638428,11.440716981887817,35.72967219352722,2
27,-2474.6798027776017,-2474.4481847628194,0.9830490190079422,0.9830490190079422,1.9999999999995892,0.4359152317047119,5.993316888809204,11.248865842819214,11.327420949935913,35.132901668548584,2
28,-2466.754534367881,-2466.754534367881,0.9843024090975632,0.9843024090975632,1.9999999999997917,0.4321310520172119,5.057957172393799,11.144577026367188,11.043628215789795,35.175354957580566,2
29,-2498.7456323237107,-2498.7456323237107,0.986757247614797,0.986757247614797,1.9999999999996423,0.4358961582183838,5.015422105789185,11.300411224365234,11.303898096084595,34.90577983856201,2
30,-2486.2248389431193,-2485.5652573591155,0.9870300878600102,0.9870300878600102,1.999999999999695,0.19976401329040527,6.10575008392334,11.167414903640747,11.40041708946228,35.17519998550415,2
31,-2501.813153130349,-2501.813153130349,0.9876488551651836,0.9876488551651836,1.999999999999495,0.4434638023376465,5.16696310043335,11.273231983184814,11.481852769851685,35.07342314720154,2
32,-2506.8312289602336,-2506.8303062982372,0.9880019460121832,0.9880019460121832,1.9999999999998144,0.45679426193237305,6.038557052612305,10.929486989974976,11.214378118515015,35.11432719230652,2
33,-2490.6232019776658,-2490.3339027582074,0.9895093676923081,0.9895093676923081,1.9999999999994598,0.4361109733581543,6.014065980911255,11.29386281967163,10.97636604309082,35.548738956451416,2
34,-2504.2694297820385,-2504.2549670511257,0.9916431615274615,0.9916431615274615,1.999999999999564,0.16005420684814453,5.9815521240234375,10.975253105163574,11.101217985153198,35.19592094421387,2
35,-2478.224772287877,-2478.224772287877,0.9927581362199809,0.9927581362199809,1.9999999999996385,0.4404120445251465,5.134420156478882,11.278985023498535,11.37906289100647,35.01360011100769,2
36,-2511.862062909061,-2511.737382573412,0.9977353838802288,0.9977353838802288,1.9999999999995526,0.05226278305053711,6.0319578647613525,11.30472183227539,11.001235008239746,35.17770600318909,2
37,-2529.2486884379396,-2529.2486884379396,0.9980944936614966,0.9980944936614966,1.999999999999618,0.43964695930480957,5.103792905807495,11.12301516532898,10.568779945373535,35.182992935180664,2
