,Gershgorin,DeVille,Algorithm 2(k=1),Algorithm 2(k=2),eigenvalue,Gershgorin_time,DeVille_time,Algorithm 2(k=1)_time,Algorithm 2(k=2)_time,eigenvalue_time,eps
101,-4.945373732624132,-4.945373732624132,-4.027218100589061,-4.02721810058906,0.4999999999999997,2.8133392333984375e-05,7.987022399902344e-05,0.0001442432403564453,0.0002529621124267578,4.982948303222656e-05,0.5
102,-4.573363415308586,-4.573363415308586,-4.238938782520126,-3.849749824188871,0.5,2.8133392333984375e-05,8.106231689453125e-05,0.00014591217041015625,0.0002582073211669922,4.887580871582031e-05,0.5
103,-8.836200842131419,-8.836200842131419,-4.498920580523978,-3.46819378424872,0.6016498080205849,3.4809112548828125e-05,8.106231689453125e-05,0.00014591217041015625,0.0002689361572265625,4.887580871582031e-05,0.5
104,-7.609529277117231,-7.609529277117231,-3.897973320266611,-3.437544440379891,0.5000000000000003,2.7179718017578125e-05,7.891654968261719e-05,0.0001430511474609375,0.00025391578674316406,5.1021575927734375e-05,0.5
105,-4.764403064179806,-4.764403064179806,-3.8676285634969982,-3.3968217503395937,0.4999999999999997,2.7894973754882812e-05,7.915496826171875e-05,0.00015997886657714844,0.0002739429473876953,4.8160552978515625e-05,0.5
106,-6.348389356710577,-6.348389356710577,-5.4027989256254205,-3.3750036141396556,0.49999999999999967,2.8133392333984375e-05,8.7738037109375e-05,0.00014829635620117188,0.00026988983154296875,4.792213439941406e-05,0.5
107,-4.1065005225586795,-3.9653602791668283,-3.362436209628818,-3.362436209628818,0.4999999999999995,2.6941299438476562e-05,0.00013113021850585938,0.0001437664031982422,0.00025916099548339844,5.507469177246094e-05,0.5
108,-7.260024126036801,-7.260024126036801,-3.9258537530882407,-3.2579359882273686,0.5,2.7179718017578125e-05,8.082389831542969e-05,0.00015115737915039062,0.0002601146697998047,5.507469177246094e-05,0.5
109,-5.887836770178481,-5.887836770178481,-3.7405933147683212,-3.1560237778066913,0.4999999999999992,2.7179718017578125e-05,8.392333984375e-05,0.00014591217041015625,0.00026917457580566406,4.887580871582031e-05,0.5
110,-7.038966594873765,-6.916370593511973,-3.5404334158140687,-3.0752746267112903,0.49999999999999983,2.7894973754882812e-05,0.00012803077697753906,0.00015997886657714844,0.0002770423889160156,5.888938903808594e-05,0.5
